SiteID;SiteCode;SiteName;Bacino;Comune;Comunità montana;Est;Latitude;Località;Longitude;Nord;Pluviometro riscaldato;Elevation;Rete
1;1000;Arvier - Chamençon;Dora di Valgrisenche;Arvier;Grand-Paradis;352689 m;45.6783;Chamençon;7.10742;5060242 m;Si;1238;CF
3;1020;Aymavilles - ponte Dora Baltea - Centrale idroelettrica;Dora Baltea;Aymavilles;Grand-Paradis;364072 m;45.7108;Centrale idroelettrica;7.25257;5063600 m;No;618;CF
4;1030;Aymavilles - Vieyes;torrente Grand'Eyvia;Aymavilles;Grand-Paradis;363786 m;45.6497;Vieyes;7.2508;5056816 m;No;1139;CF
5;1040;Bionaz - Place Moulin;torrente Buthier;Bionaz;Grand-Combin;383055 m;45.8997;Place Moulin;7.49137;5084208 m;No;1979;CF
9;1080;Chamois - Lac de Lou;torrente Marmore;Chamois;Mont-Cervin;393141 m;45.8446;Lac de lou;7.62275;5077902 m;Si;2020;CF
10;1090;Champdepraz - Chevrère;torrente Chalamy;Champdepraz;Evançon;392118 m;45.6835;Chevrère;7.61357;5060017 m;Si;1260;CF
11;1100;Champdepraz - Ponte Dora Baltea;Dora Baltea;Champdepraz;Evançon;396798 m;45.6818;Ponte Dora Baltea;7.67371;5059749 m;No;370;CF
12;1110;Champorcher - Chardonney;torrente Ayasse;Champorcher;Mont-Rose;391621 m;45.6206;Chardonney;7.60875;5053030 m;Si;1430;CF
13;1120;Champorcher - Rifugio Dondena;torrente Ayasse;Champorcher;Mont-Rose;387168 m;45.6123;Rifugio Dondena;7.55184;5052194 m;No;2181;CF
14;1130;Cogne - Crétaz;torrente Grand'Eyvia;Cogne;Grand-Paradis;370693 m;45.6145;Crétaz;7.34048;5052759 m;No;1470;CF
15;1140;Cogne - Lillaz;torrente Grand'Eyvia;Cogne;Grand-Paradis;374654 m;45.5951;Lillaz;7.39184;5050517 m;Si;1613;CF
16;1150;Cogne - Valnontey;torrente Grand'Eyvia;Cogne;Grand-Paradis;370360 m;45.5855;Valnontey;7.33708;5049535 m;Si;1682;CF
17;1160;Cogne - Grand-Crot;torrente Grand'Eyvia;Cogne;Grand-Paradis;372735 m;45.588;Grand-Crot;7.36744;5049772 m;No;2279;CF
18;1170;Courmayeur - Ferrachet;Dora di Ferret;Courmayeur;Valdigne-Mont-Blanc;346984 m;45.8668;Ferrachet;7.02754;5081340 m;No;2290;CF
19;1190;Courmayeur - Lex Blanche;Dora di Veny;Courmayeur;Valdigne-Mont-Blanc;331991 m;45.7664;Lex Blanche;6.83826;5070560 m;No;2162;CF
20;1200;Courmayeur - Mont de la Saxe;Dora Baltea;Courmayeur;Valdigne-Mont-Blanc;343313 m;45.817;Mont de la Saxe;6.98204;5075894 m;No;2076;CF
21;1220;Courmayeur - Pré-de-Bard;Dora di Ferret;Courmayeur;Valdigne-Mont-Blanc;349957 m;45.8843;Pré-de-Bard;7.06523;5083214 m;No;2040;CF
22;1230;Fénis - Clavalité;torrente Clavalité;Fénis;Mont-Emilius;383324 m;45.686;Clavalité;7.50058;5060455 m;No;1531;CF
23;1240;Fénis - Lavodilec;torrente Clavalité;Fénis;Mont-Emilius;382035 m;45.6448;Lavodilec;7.48514;5055901 m;No;2250;CF
24;1250;Gressan - Pila-Leissé;Dora Baltea;Gressan;Mont-Emilius;368343 m;45.6643;Pila-Leissé;7.30885;5058342 m;No;2280;CF
25;1260;Gressoney-la-Trinité - Alpe Courtlys;torrente Lys;Gressoney-La-Trinité;Walser;407535 m;45.8683;Alpe Courtlys;7.80761;5080305 m;No;1992;CF
26;1270;Gressoney-la-Trinité - Eselbode;torrente Lys;Gressoney-La-Trinité;Walser;408890 m;45.8306;Eselbode;7.82587;5076090 m;Si;1642;CF
27;1280;Gressoney-la-Trinité - Gabiet;torrente Lys;Gressoney-La-Trinité;Walser;410705 m;45.8522;Gabiet;7.84879;5078465 m;No;2379;CF
29;1300;Gressoney-Saint-Jean - Weissmatten;torrente Lys;Gressoney-Saint-Jean;Walser;408692 m;45.7484;Weissmatten;7.82505;5066969 m;Si;2038;CF
30;1310;Hône - Ponte Dora Baltea;Dora Baltea;Hône;Mont-Rose;401842 m;45.6172;Ponte Dora Baltea;7.73993;5052488 m;Si;340;CF
31;1320;Issime - Capoluogo;torrente Lys;Issime;Walser;411019 m;45.6873;Capoluogo;7.85621;5060138 m;Si;960;CF
33;1340;La Thuile - La Grande Tête;torrente Ruitor;La Thuile;Valdigne-Mont-Blanc;337789 m;45.6837;La Grande Tête;6.91591;5061212 m;No;2430;CF
34;1360;La Thuile - Villaret;torrente Ruitor;La Thuile;Valdigne-Mont-Blanc;340992 m;45.7095;Villaret;6.95609;5064003 m;Si;1488;CF
35;1370;Lillianes - Granges;torrente Lys;Lillianes;Mont-Rose;410983 m;45.6283;Granges;7.85695;5053584 m;Si;1256;CF
37;1390;Morgex - Lavancher;Dora Baltea;Morgex;Valdigne-Mont-Blanc;346213 m;45.7952;Lavancher;7.02014;5073400 m;No;2842;CF
40;1430;Nus - Les Iles;Dora Baltea;Nus;Mont-Emilius;378580 m;45.7389;Les Iles;7.43818;5066428 m;No;534;CF
